Date Time, Water Level, Sigma, I, L 
2013-11-09 00:00,4.537,0.171,0,0
2013-11-09 01:00,3.317,0.105,0,0
2013-11-09 02:00,2.028,0.105,0,0
2013-11-09 03:00,0.840,0.112,0,0
2013-11-09 04:00,0.033,0.115,0,0
2013-11-09 05:00,-0.200,0.095,0,0
2013-11-09 06:00,0.062,0.085,0,0
2013-11-09 07:00,0.876,0.098,0,0
2013-11-09 08:00,2.080,0.085,0,0
2013-11-09 09:00,3.291,0.089,0,0
2013-11-09 10:00,4.236,0.105,0,0
2013-11-09 11:00,5.023,0.075,0,0
2013-11-09 12:00,5.148,0.135,0,0
2013-11-09 13:00,5.000,0.102,0,0
2013-11-09 14:00,4.469,0.085,0,0
2013-11-09 15:00,3.904,0.085,0,0
2013-11-09 16:00,3.323,0.118,0,0
2013-11-09 17:00,3.028,0.095,0,0
2013-11-09 18:00,3.025,0.108,0,0
2013-11-09 19:00,3.353,0.102,0,0
2013-11-09 20:00,3.888,0.079,0,0
2013-11-09 21:00,4.521,0.112,0,0
2013-11-09 22:00,5.115,0.082,0,0
2013-11-09 23:00,5.318,0.085,0,0
2013-11-10 00:00,5.157,0.098,0,0
2013-11-10 01:00,4.364,0.105,0,0
2013-11-10 02:00,3.425,0.095,0,0
2013-11-10 03:00,2.297,0.112,0,0
2013-11-10 04:00,1.237,0.112,0,0
2013-11-10 05:00,0.499,0.092,0,0
2013-11-10 06:00,0.207,0.102,0,0
2013-11-10 07:00,0.486,0.089,0,0
2013-11-10 08:00,1.332,0.108,0,0
2013-11-10 09:00,2.487,0.089,0,0
2013-11-10 10:00,3.593,0.082,0,0
2013-11-10 11:00,4.715,0.115,0,0
2013-11-10 12:00,5.200,0.121,0,0
2013-11-10 13:00,5.394,0.148,0,0
2013-11-10 14:00,5.259,0.108,0,0
2013-11-10 15:00,4.573,0.092,0,0
2013-11-10 16:00,3.832,0.108,0,0
2013-11-10 17:00,3.301,0.095,0,0
2013-11-10 18:00,2.805,0.092,0,0
2013-11-10 19:00,2.595,0.098,0,0
2013-11-10 20:00,2.930,0.115,0,0
2013-11-10 21:00,3.310,0.089,0,0
2013-11-10 22:00,4.022,0.105,0,0
2013-11-10 23:00,4.626,0.112,0,0
2013-11-11 00:00,4.974,0.085,0,0
2013-11-11 01:00,4.708,0.115,0,0
2013-11-11 02:00,4.291,0.128,0,0
2013-11-11 03:00,3.593,0.135,0,0
2013-11-11 04:00,2.480,0.102,0,0
2013-11-11 05:00,1.604,0.125,0,0
2013-11-11 06:00,0.925,0.082,0,0
2013-11-11 07:00,0.633,0.108,0,0
2013-11-11 08:00,0.919,0.125,0,0
2013-11-11 09:00,1.690,0.098,0,0
2013-11-11 10:00,2.785,0.135,0,0
2013-11-11 11:00,3.894,0.092,0,0
2013-11-11 12:00,4.846,0.131,0,0
2013-11-11 13:00,5.541,0.125,0,0
2013-11-11 14:00,5.669,0.171,0,0
2013-11-11 15:00,5.387,0.125,0,0
2013-11-11 16:00,4.774,0.154,0,0
2013-11-11 17:00,3.944,0.089,0,0
2013-11-11 18:00,2.818,0.089,0,0
2013-11-11 19:00,2.392,0.098,0,0
2013-11-11 20:00,2.073,0.102,0,0
2013-11-11 21:00,2.106,0.095,0,0
2013-11-11 22:00,2.671,0.066,0,0
2013-11-11 23:00,3.278,0.098,0,0
2013-11-12 00:00,4.104,0.079,0,0
2013-11-12 01:00,4.669,0.098,0,0
2013-11-12 02:00,4.705,0.095,0,0
2013-11-12 03:00,4.465,0.092,0,0
2013-11-12 04:00,3.802,0.085,0,0
2013-11-12 05:00,2.831,0.098,0,0
2013-11-12 06:00,1.745,0.098,0,0
2013-11-12 07:00,1.407,0.118,0,0
2013-11-12 08:00,0.958,0.108,0,0
2013-11-12 09:00,1.319,0.102,0,0
2013-11-12 10:00,1.995,0.079,0,0
2013-11-12 11:00,2.953,0.082,0,0
2013-11-12 12:00,4.193,0.105,0,0
2013-11-12 13:00,5.089,0.108,0,0
2013-11-12 14:00,5.735,0.141,0,0
2013-11-12 15:00,6.066,0.121,0,0
2013-11-12 16:00,5.318,0.118,0,0
